Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
201E,Untrafficked,5,15,1.239814477,CC,NT,60,201,71,2,1,E,6,0.23163017,1.497172976,0.346790431,2.81,4.3
201E,Trafficked,15,30,1.419947119,CC,NT,60,201,71,2,1,E,6,,,,,
201E,Untrafficked,15,30,1.09143257,CC,NT,60,201,71,2,1,E,6,0.233160622,1.59189228,0.371166594,1.79,1.7
201E,Trafficked,30,60,1.135761134,CC,NT,60,201,71,2,1,E,6,,,,,
201E,Untrafficked,30,60,1.262093721,CC,NT,60,201,71,2,1,E,6,0.215930018,1.755891413,0.379149665,0.75,2.6
201W,Trafficked,0,5,0.634004023,CC,NT,60,201,71,2,1,W,6,,,,,
201W,Untrafficked,0,5,0.437876811,CC,NT,60,201,71,2,1,W,6,0.208699473,1.389652678,0.290019781,2.44,3.7
201W,Trafficked,5,15,1.336090296,CC,NT,60,201,71,2,1,W,6,,,,,
201W,Untrafficked,5,15,1.21634655,CC,NT,60,201,71,2,1,W,6,0.229228803,1.500562497,0.343972145,2.41,3.9
201W,Trafficked,15,30,1.709580666,CC,NT,60,201,71,2,1,W,6,,,,,
201W,Untrafficked,15,30,1.571519309,CC,NT,60,201,71,2,1,W,6,0.260888314,1.443495963,0.376591228,2.72,3.7
201W,Trafficked,30,60,1.406149192,CC,NT,60,201,71,2,1,W,6,,,,,
201W,Untrafficked,30,60,1.527399674,CC,NT,60,201,71,2,1,W,6,0.240798226,1.704043903,0.410330749,1.2,2.1
206E,Trafficked,0,5,0.35369246,CC,NT,35,206,71,2,6,E,4,,,,,
206E,Untrafficked,0,5,0.591220146,CC,NT,35,206,71,2,6,E,4,0.219762846,1.474524921,0.324045793,2.08,2.8
206E,Trafficked,5,15,0.995525313,CC,NT,35,206,71,2,6,E,4,,,,,
206E,Untrafficked,5,15,0.993037469,CC,NT,35,206,71,2,6,E,4,0.223268072,1.482207555,0.330929623,1.67,2.6
206E,Trafficked,15,30,1.409142556,CC,NT,35,206,71,2,6,E,4,,,,,
206E,Untrafficked,15,30,1.11925251,CC,NT,35,206,71,2,6,E,4,0.267562879,1.366751598,0.365691993,1.65,2.5
206E,Trafficked,30,60,1.213010986,CC,NT,35,206,71,2,6,E,4,,,,,
206E,Untrafficked,30,60,1.502674556,CC,NT,35,206,71,2,6,E,4,0.261806511,1.431699053,0.374828133,0.73,1.5
206W,Trafficked,0,5,0.420706092,CC,NT,35,206,71,2,6,W,4,,,,,
206W,Untrafficked,0,5,0.419593513,CC,NT,35,206,71,2,6,W,4,0.200902935,1.566824084,0.314779556,2.2,2.9
206W,Trafficked,5,15,1.046662597,CC,NT,35,206,71,2,6,W,4,,,,,
206W,Untrafficked,5,15,0.714687471,CC,NT,35,206,71,2,6,W,4,0.195410057,1.574791582,0.307730113,2.04,3.3
206W,Trafficked,15,30,1.698282593,CC,NT,35,206,71,2,6,W,4,,,,,
206W,Untrafficked,15,30,1.077986161,CC,NT,35,206,71,2,6,W,4,0.223042836,1.499016653,0.334344926,1.77,2.4
206W,Trafficked,30,60,1.717440999,CC,NT,35,206,71,2,6,W,4,,,,,
206W,Untrafficked,30,60,1.157292581,CC,NT,35,206,71,2,6,W,4,0.214445272,1.554302397,0.3333128,0.88,1.6
207E,Trafficked,0,5,0.522257982,CC,CP,60,207,70,2,7,E,5,,,,,
207E,Untrafficked,0,5,0.279536816,CC,CP,60,207,70,2,7,E,5,0.144912281,1.661338155,0.240748301,1.66,2
207E,Trafficked,5,15,1.155092281,CC,CP,60,207,70,2,7,E,5,,,,,
207E,Untrafficked,5,15,0.558980605,CC,CP,60,207,70,2,7,E,5,0.172786885,1.673064087,0.289083532,1.54,2.2
207E,Trafficked,15,30,1.672839178,CC,CP,60,207,70,2,7,E,5,,,,,
207E,Untrafficked,15,30,1.350177009,CC,CP,60,207,70,2,7,E,5,0.189993002,1.711917353,0.325252317,0.99,1.7
207E,Trafficked,30,60,1.530579561,CC,CP,60,207,70,2,7,E,5,,,,,
207E,Untrafficked,30,60,1.19376781,CC,CP,60,207,70,2,7,E,5,0.186824324,1.776675002,0.331926107,1.01,1.1
207W,Trafficked,0,5,0.258686046,CC,CP,60,207,70,2,7,W,5,,,,,
207W,Untrafficked,0,5,0.118042214,CC,CP,60,207,70,2,7,W,5,0.19827957,1.372725396,0.272183401,2.01,3.2
207W,Trafficked,5,15,0.709669419,CC,CP,60,207,70,2,7,W,5,,,,,
207W,Untrafficked,5,15,0.24043341,CC,CP,60,207,70,2,7,W,5,0.232079208,1.521762913,0.353169532,1.99,3.2
207W,Trafficked,15,30,1.293832293,CC,CP,60,207,70,2,7,W,5,,,,,
207W,Untrafficked,15,30,1.336441185,CC,CP,60,207,70,2,7,W,5,0.252313687,1.373435161,0.34653649,1.78,2.7
207W,Trafficked,30,60,1.778209347,CC,CP,60,207,70,2,7,W,5,,,,,
207W,Untrafficked,30,60,1.285474798,CC,CP,60,207,70,2,7,W,5,0.231276496,1.637943766,0.378817894,0.88,1.5
208E,Trafficked,0,5,0.08354275,CC,CP,0,208,70,2,8,E,1,,,,,
208E,Untrafficked,0,5,0.144233818,CC,CP,0,208,70,2,8,E,1,0.163183637,1.259624092,0.205550041,1.99,2.8
208E,Trafficked,5,15,0.36986637,CC,CP,0,208,70,2,8,E,1,,,,,
208E,Untrafficked,5,15,1.23961014,CC,CP,0,208,70,2,8,E,1,0.184257603,1.498198084,0.276054388,1.71,2.4
208E,Trafficked,15,30,0.658569225,CC,CP,0,208,70,2,8,E,1,,,,,
208E,Untrafficked,15,30,1.473861419,CC,CP,0,208,70,2,8,E,1,0.21444594,1.558378046,0.334187845,2.03,3.3
208E,Trafficked,30,60,1.728365349,CC,CP,0,208,70,2,8,E,1,,,,,
